elapsed_s,depth,rows
0,0,0
1,3985,61
2,10047,168
4,10016,276
5,10014,383
6,10015,460
7,10005,558
8,10032,674
10,10025,783
11,10029,901
12,10041,1015
13,10030,1123
14,10033,1191
16,10045,1260
17,10026,1323
18,10008,1411
19,10028,1502
21,10029,1593
22,10033,1684
23,10006,1751
24,10003,1821
25,10016,1928
27,10004,2002
28,10020,2131
29,10040,2253
30,10002,2354
31,10020,2505
33,10000,2635
34,10011,2747
35,10004,2872
