elapsed_s,depth,rows
0,0,0
1,8341,69
2,10004,146
3,10004,237
4,10004,301
6,10004,361
7,10004,434
8,10004,501
9,10004,556
11,10004,647
12,10004,729
13,10004,792
14,10004,876
15,10004,962
17,10004,1022
18,10004,1099
19,10004,1173
20,10004,1273
22,10004,1326
23,10004,1416
24,10004,1485
25,10004,1547
26,10004,1618
28,10004,1712
29,10004,1814
30,10004,1876
31,10004,1974
33,10004,2043
34,10004,2126
35,10002,2187
