version	total_recompute	per_key	note
v2	50	 전자기기=10 의류=10 식품=10 도서=10 스포츠=10	v2: 고정 TTL 동시 만료
v5	40	 전자기기=0 의류=10 식품=10 도서=10 스포츠=10	v5: 지터 분산
